Simulation time: 10 seconds
Starting drones: 2
Starting nectar workers: 100
Starting pollen workers: 100
*BH* QUEEN #1 is born!
*BH* DRONE #2 is born!
*BH* DRONE #3 is born!
*FF* POLLEN WORKER #181 leaves field
*FF* POLLEN WORKER #191 leaves field
*FF* POLLEN WORKER #182 leaves field
*FF* POLLEN WORKER #185 leaves field
*FF* POLLEN WORKER #184 leaves field
*FF* POLLEN WORKER #201 leaves field
*FF* POLLEN WORKER #180 leaves field
*FF* POLLEN WORKER #196 leaves field
*FF* POLLEN WORKER #179 leaves field
*FF* POLLEN WORKER #178 leaves field
*FF* POLLEN WORKER #198 leaves field
*FF* POLLEN WORKER #199 leaves field
*FF* POLLEN WORKER #177 leaves field
*FF* POLLEN WORKER #197 leaves field
*FF* POLLEN WORKER #203 leaves field
*FF* POLLEN WORKER #202 leaves field
*FF* POLLEN WORKER #194 leaves field
*FF* POLLEN WORKER #193 leaves field
*FF* POLLEN WORKER #190 leaves field
*FF* POLLEN WORKER #192 leaves field
*FF* POLLEN WORKER #189 leaves field
*FF* POLLEN WORKER #200 leaves field
*FF* POLLEN WORKER #195 leaves field
*FF* NECTAR WORKER #18 leaves field
*FF* NECTAR WORKER #16 leaves field
*FF* NECTAR WORKER #4 leaves field
*FF* NECTAR WORKER #15 leaves field
*FF* NECTAR WORKER #13 leaves field
*FF* NECTAR WORKER #12 leaves field
*FF* NECTAR WORKER #7 leaves field
*FF* NECTAR WORKER #17 leaves field
*FF* NECTAR WORKER #10 leaves field
*FF* NECTAR WORKER #6 leaves field
*FF* NECTAR WORKER #23 leaves field
*FF* NECTAR WORKER #28 leaves field
*FF* NECTAR WORKER #29 leaves field
*FF* NECTAR WORKER #30 leaves field
*FF* NECTAR WORKER #21 leaves field
*FF* NECTAR WORKER #19 leaves field
*FF* NECTAR WORKER #26 leaves field
*FF* NECTAR WORKER #27 leaves field
*FF* NECTAR WORKER #5 leaves field
*FF* NECTAR WORKER #20 leaves field
*FF* NECTAR WORKER #40 leaves field
*FF* NECTAR WORKER #33 leaves field
*FF* NECTAR WORKER #14 leaves field
*FF* NECTAR WORKER #32 leaves field
*FF* NECTAR WORKER #8 leaves field
*FF* NECTAR WORKER #25 leaves field
*FF* NECTAR WORKER #38 leaves field
*FF* NECTAR WORKER #37 leaves field
*FF* NECTAR WORKER #24 leaves field
*FF* NECTAR WORKER #39 leaves field
*FF* NECTAR WORKER #43 leaves field
*FF* NECTAR WORKER #46 leaves field
*FF* NECTAR WORKER #36 leaves field
*FF* NECTAR WORKER #34 leaves field
*FF* NECTAR WORKER #11 leaves field
*FF* NECTAR WORKER #52 leaves field
*FF* NECTAR WORKER #31 leaves field
*FF* NECTAR WORKER #50 leaves field
*FF* NECTAR WORKER #49 leaves field
*FF* NECTAR WORKER #42 leaves field
*FF* NECTAR WORKER #48 leaves field
*FF* NECTAR WORKER #53 leaves field
*FF* NECTAR WORKER #60 leaves field
*FF* NECTAR WORKER #63 leaves field
*FF* NECTAR WORKER #61 leaves field
*FF* NECTAR WORKER #64 leaves field
*FF* NECTAR WORKER #41 leaves field
*FF* NECTAR WORKER #51 leaves field
*FF* NECTAR WORKER #62 leaves field
*FF* NECTAR WORKER #9 leaves field
*BH* Bee hive stops buzzing!

STATISTICS
==========
Bees born: 203
Bees perished: 0
Nectar gathered: 50
Pollen gathered: 0
Nectar remaining: 50
Pollen remaining: 0
